user_location;lat;lon
 Caceres Extremadura ;39,475155;-6,371413;
 PcD Fidel;39,78373;-100,445882;
 A CORUÑA ;43,371209;-8,395877;
 ABUELA? ½ KM de distancia;39,78373;-100,445882;
 AGUSTÍN LARA 36 18008 GRANADA;39,78373;-100,445882;
 Alicante - Madrid;39,78373;-100,445882;
 Arendell;30,785832;-96,72832;
 Asturies;43,313387;-5,94192;
 Av de Madrid, 5 Valdemoro;39,78373;-100,445882;
 Barcelona;41,38256;2,177135;
 Barcelona,Catalunya;41,38256;2,177135;
 Barcelona-Catalogne-Espagne •;41,38256;2,177135;
 Bierzo;27,487655;-110,00279;
 BLUECITA Endless road 7058CD9;39,78373;-100,445882;
 c/Ciudadela nº 6  Zaragoza;41,64882;-0,911267;
 Catia, Caracas, Venezuela;10,516281;-66,945551;
 Dublín. ?;53,349765;-6,260273;
 en este mundo sin sentido ;39,78373;-100,445882;
 ESPAÑA;40,002803;-4,003104;
 Euskal Herria.;42,991182;-2,554302;
 Galiza ;42,61946;-7,863112;
 hipócrita inmoralidad.;39,78373;-100,445882;
 In some place ;40,596328;-122,321542;
 into the deep;39,78373;-100,445882;
 jalisco;20,333333;-103,666667;
 Jerez de los Caballeros.;38,320199;-6,771339;
 la NASA @noelia27atm;7,705006;-72,136007;
 Madrid, España;40,416705;-3,703582;
 MADRID-ESPAÑA;40,416705;-3,703582;
 malfoy. the 1975;-38,095381;145,255855;
 México;19,43253;-99,13321;
 Navalmoral de la Mata;39,892831;-5,54012;
 Ni idea ;39,78373;-100,445882;
- Palencia - ;42,010814;-4,532785;
 Pedagogia;-11,981118;-77,072906;
 Perú;-6,86997;-75,045851;
 Redondela , Galicia;42,284222;-8,608599;
 Sevilla;37,38863;-5,995317;
 sevilla@voxespana.es ;39,78373;-100,445882;
 Spain.;40,002803;-4,003104;
 Tubilla delAgua A 300kmMadrid;39,78373;-100,445882;
 USA/Australia/Tunisia;39,78373;-100,445882;
 Venezuela;8,001871;-66,110932;
 Xalapa, Ver, Mexico;19,527409;-96,923879;
 ZamoraCh - Ecuador ;39,78373;-100,445882;
!Planeta Tierra!;19,540925;-96,946762;
10 ? ?????er ? My new blog??;39,78373;-100,445882;
20agrupovaguada;39,78373;-100,445882;
Alcorcón;40,346762;-3,828632;
Canarias;28,530653;-15,746444;
CDMX - Ciudad de México;39,78373;-100,445882;
Ceuta;35,888361;-5,304138;
Comunidad Valenciana;39,681959;-0,765441;
Córdoba Málaga Sevilla;39,78373;-100,445882;
Durango Vizcaya país vasco;43,170707;-2,63349;
En algun Lugar del Mundo;39,78373;-100,445882;
España Spain Espagne  ;39,78373;-100,445882;
Getafe;40,308181;-3,730268;
La Mejor Venezuela;39,78373;-100,445882;
LaVera Extremadura España;39,78373;-100,445882;
LuchaPorLoQueQuieres;39,78373;-100,445882;
Madrid;40,416705;-3,703582;
Madrid España;40,416705;-3,703582;
Madrid (España);40,416705;-3,703582;
Maracaibo Venezuela;10,665156;-71,623075;
MGWV;39,78373;-100,445882;
NuncaDejesDeCreer ? ATM;39,78373;-100,445882;
ontheroad;39,78373;-100,445882;
Parla;40,237395;-3,77189;
Placeres!!;-36,791144;-72,301809;
Salamanca Donostia;43,324994;-1,982154;
SotodelReal;39,78373;-100,445882;
SquadMp;39,78373;-100,445882;
$hile ,el pais de la libertad;39,78373;-100,445882;
(Burgos) España;42,343926;-3,696977;
(Castillas y Leon) ESPAÑA;39,78373;-100,445882;
(Las Palmas - Madrid) España;39,78373;-100,445882;
(Sarawak,North London) ?;2,392623;113,646867;
* Murcia * - (España).;37,99238;-1,130543;
, España;39,78373;-100,445882;
, Piemonte italia;45,060735;7,923549;
?   Asturias (España)  ?  ;39,78373;-100,445882;
? Costa Blanca Mediterránea ?;39,78373;-100,445882;
? Lidia's Feliciana/Vuk. ;39,78373;-100,445882;
?? (j26e?);39,78373;-100,445882;
????? Ma?r?t - Madrid;39,78373;-100,445882;
??Burgos??;39,78373;-100,445882;
??la de encan?a;39,78373;-100,445882;
?as Palmas de Gran Canaria    /                           Canary Islands ;28,12878;-15,435051;
?Asturiano Indie en Valencia?;39,78373;-100,445882;
?encima de un escenario?;39,78373;-100,445882;
?M1Ö ???Aguilar De Tera ??;39,78373;-100,445882;
?oOº°‘¨ ?pai? & Çá?iz ¨‘°ºOo?;39,78373;-100,445882;
?Siberia-Gasteiz (Euskadi);39,78373;-100,445882;
@AndreaPaz_Albo;39,78373;-100,445882;
@Burgoslavia;39,78373;-100,445882;
@CronicasdelOM;39,78373;-100,445882;
@donnnnnnnnne;39,78373;-100,445882;
@lauramadness_;11,942447;-86,393333;
@pabloalboran;39,78373;-100,445882;
@PauDybala_JR;39,78373;-100,445882;
@redciudadesbici Coordinator16;39,78373;-100,445882;
@rne / @tve_tve C-LM;39,78373;-100,445882;
@SomosChavez2_0 TROPA;-33,857154;-55,540359;
@Tractorismo DURO/FIABLE/LENTO;39,78373;-100,445882;
[657][673] Mi hermana ?;39,78373;-100,445882;
[León];12,619767;-86,591819;
~De alguna parte del mundo~;39,78373;-100,445882;
~Sevillana~ CO;40,712496;-4,139121;
¡Acudimos donde nos necesitan!;39,78373;-100,445882;
¡Afíliate o colabora!;39,78373;-100,445882;
¡Oh capitán! ¡Mi capitán! |RW|;39,78373;-100,445882;
¿Coincidencia acabar aqui? ;39,78373;-100,445882;
¿Suiza: capital? Envé.;39,78373;-100,445882;
+34 95 4618857 Sevilla, España;39,78373;-100,445882;
+34 981 160 462;39,78373;-100,445882;
007/290;34,422936;132,394422;
02/07/2013/Pablo Alborán ;39,78373;-100,445882;
0414 1415217;42,386818;-8,132156;
1 Autonómica | Grupo IV | FFCM;39,78373;-100,445882;
1/31 Unidas por MPA?  ;39,78373;-100,445882;
100% Online;41,724358;44,73018;
10-07-2014 || 06-07-2012 || 24-06-2016;39,78373;-100,445882;
127.0.0.1;39,78373;-100,445882;
1902 , Real Madrid. [28.05];39,78373;-100,445882;
20870-Elgoibar;43,214356;-2,416859;
22 de maig 5 km Sitges;39,78373;-100,445882;
22, ella—she·her /// ESP • ENG;39,78373;-100,445882;
25.673883,-100.321662;25,673985;-100,322118;
"28°28'10.0""N 16°17'34.9""W";39,78373;-100,445882;
28850, MDZ;48,992988;21,232271;
37.360152,-5.988278;37,359928;-5,988257;
3ªRocaBolaPlasmaGalaxiaEspiral;39,78373;-100,445882;
3MSC With Myself;39,78373;-100,445882;
3rd Rock from the Sun;39,78373;-100,445882;
4 privet drive;40,155473;-76,815266;
40.40177, -3,72062;39,78373;-100,445882;
40x20;39,78373;-100,445882;
40x20???|STY.;39,78373;-100,445882;
41.383N 2.183E;39,78373;-100,445882;
42003  Soria, España;41,763384;-2,464204;
43.660029, -7.356729;43,660097;-7,356887;
500 km: Almería-Madrid;39,78373;-100,445882;
6/5/11 ? / @CLizten;39,78373;-100,445882;
60,7 51,1 42,1 32,1 24,7 12,2;39,78373;-100,445882;
641 pesesitos;39,78373;-100,445882;
651 636 193;39,78373;-100,445882;
8 al rojo;39,78373;-100,445882;
900 835 701 Llamada gratuita;39,78373;-100,445882;
97. ALH × Soprano Fieles  RMCF;39,78373;-100,445882;
99.RH0?VACAAS'M SE??AN;39,78373;-100,445882;
A  Coruña;43,371209;-8,395877;
A 886km de aquel 21?;39,78373;-100,445882;
A 92 km de Segovia;39,78373;-100,445882;
a coruna;43,371209;-8,395877;
A Corunha - GALIZA;39,78373;-100,445882;
A Coruña;43,371209;-8,395877;
A Coruña ;43,371209;-8,395877;
A Coruña - Donosti;39,78373;-100,445882;
A Coruña - Galicia - España;39,78373;-100,445882;
A Coruña ? Barcelona;39,78373;-100,445882;
a coruña GZ;39,78373;-100,445882;
a Coruña y Lugo;42,986901;-7,536227;
A Coruña, España;43,371209;-8,395877;
A Coruña, España y vigo;39,78373;-100,445882;
A Coruña, Galicia;43,371209;-8,395877;
A Coruña, Galicia / Barcelona;39,78373;-100,445882;
A Coruña, Galicia, España;39,78373;-100,445882;
A Coruña, Spain;43,371209;-8,395877;
A Coruña-Madrid;39,78373;-100,445882;
A escardar...;39,78373;-100,445882;
A Girona;41,981811;2,810829;
A GUARDA - Galicia - España;41,901245;-8,874217;
a l u n i z a n d o;39,78373;-100,445882;
A la altura del perejil.;39,78373;-100,445882;
A la Mar Mediterrània.;41,215003;1,718877;
A por la tercera;39,78373;-100,445882;
A tomar por culo.;39,78373;-100,445882;
A tres metros del infierno.;39,78373;-100,445882;
A veces aquí, a veces allá.;39,78373;-100,445882;
Abanilla, Región de Murcia;39,78373;-100,445882;
Abrazado a @RayoDe_Luna;39,78373;-100,445882;
Abstenerse Madridistas;39,78373;-100,445882;
Acarigua, Venezuela;9,558;-69,205043;
Accumbens;39,78373;-100,445882;
Achill Island, Ireland;53,952076;-10,008294;
Achinet  ????;39,78373;-100,445882;
Actor malagueño en Madrid;39,78373;-100,445882;
Adeje, España;28,121942;-16,724189;
Administradoras:Pili -Isi;39,78373;-100,445882;
Afganistán;33,000087;64,999847;
afiliado a ciudadanos ATLETICO;39,78373;-100,445882;
Africa;2;16;
África;2;16;
Africa Occidental;-33,792175;19,892979;
Ageciras, Cadiz;39,78373;-100,445882;
Agost, Alicante;38,436906;-0,639669;
Aguadulce, España;37,25302;-4,990617;
Aguascalientes, México;22;-102,5;
